Chromosome,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr1_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr2_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr3_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr4_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr5_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr6_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chr7_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314,Ca21chrR_C_albicans_SC5314
P6xSC_P16_B3_164,-,ab,ab,aa,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,cc,ab,ab,-,ab,ab,cc,-,-,cc,-,cc,cc,cc,ab,-,ab,cc,cc,cc,-,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,cc,-,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P20_B7_144,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,aa,ab,ab,ab,ab,bb,ab,ab,ab,ab,cc,ab,ab,ab,ab,ab,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,cc,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P21_B8_116,-,-,-,ab,cc,cc,-,-,-,-,-,ab,-,-,ab,ab,-,-,ab,-,ab,ab,-,-,ab,-,ab,-,-,-,-,-,cc,-,cc,cc,ab,bb,ab,-,-,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,-,bb,aa,-,-,-,-,-,ab,-,-,-,-,bb,-
P6xSC_P23_B10_144,-,-,-,ab,cc,cc,bb,cc,ab,-,ab,ab,-,-,ab,ab,-,-,aa,-,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,bb,ab,cc,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,-,bb,aa,-,-,-,-,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P24_B11_156,-,-,-,ab,cc,cc,ab,cc,ab,-,-,ab,-,-,ab,ab,-,-,aa,ab,ab,ab,-,ab,ab,-,ab,ab,cc,-,-,-,cc,-,cc,cc,ab,bb,ab,-,cc,cc,-,cc,cc,cc,ab,-,ab,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,-,bb,-,aa,-,-,-,-,cc,ab,-,-,-,ab,ab,cc
P6xSC_P25_B12_118,-,ab,ab,ab,cc,cc,ab,-,ab,ab,ab,ab,-,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,ab,ab,-,ab,aa,cc,-,-,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P26_C1_198,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,cc,ab,ab,ab,ab,ab,cc,-,-,cc,cc,cc,cc,cc,ab,bb,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P27_C2_182,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,-,ab,ab,ab,ab,bb,ab,ab,ab,ab,cc,aa,ab,-,ab,ab,cc,-,-,cc,-,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P28_C3_166,-,ab,ab,ab,cc,cc,ab,-,ab,ab,ab,ab,-,aa,ab,ab,ab,bb,ab,ab,ab,ab,-,aa,ab,-,ab,ab,cc,-,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,-,cc,cc,ab,-,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P29_C4_150,-,-,-,ab,cc,cc,ab,cc,ab,-,-,ab,-,-,ab,ab,-,-,ab,-,ab,ab,-,ab,ab,-,--,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,-,ab,-,ab,ab,ab,aa,aa,bb,-,bb,aa,-,-,-,-,cc,ab,-,-,ac,ab,ab,cc
P6xSC_P2_A1_194,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,ab,ab,ab,ab,ab,cc,-,-,cc,-,cc,cc,cc,ab,-,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,bb,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P31_C6_132,-,ab,-,ab,cc,cc,bb,cc,ab,-,ab,ab,-,-,-,ab,-,-,ab,-,ab,ab,-,-,-,-,-,-,cc,-,-,-,cc,-,cc,cc,ab,-,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,ab,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,-,-,aa,-,-,-,-,cc,ab,-,-,-,-,ab,-
P6xSC_P32_C7_160,-,-,-,ab,cc,cc,ab,cc,-,-,ab,ab,-,-,-,ab,-,-,ab,-,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,cc,cc,cc,-,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,-,bb,bb,aa,-,-,-,-,cc,ab,-,-,-,-,ab,-
P6xSC_P33_C8_118,-,-,-,ab,cc,cc,ab,cc,bb,-,ab,ab,-,-,ab,ab,-,-,ab,ab,ab,ab,-,ab,ab,-,ab,ab,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,ab,-,cc,cc,ab,-,-,ab,ab,-,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,-,-,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P34_C9_132,-,-,ab,ab,cc,cc,ab,cc,ab,-,aa,ab,-,-,ab,ab,-,bb,ab,ab,ab,ab,-,ab,ab,-,ab,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,cc,-,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P35_C10_146,-,-,-,ab,cc,cc,ab,cc,ab,-,-,ab,-,-,ab,ab,-,-,aa,ab,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,-,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,-,bb,aa,-,-,-,-,cc,ab,-,-,-,-,ab,cc
P6xSC_P36_C11_158,-,-,-,ab,cc,cc,ab,cc,-,-,ab,ab,-,-,ab,ab,-,-,aa,ab,ab,ab,-,ab,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,-,bb,aa,-,-,-,-,-,ab,cc,-,-,-,ab,-
P6xSC_P37_C12_120,-,ab,ab,ab,cc,cc,bb,-,-,-,ab,ab,-,ab,ab,ab,ab,-,ab,ab,-,ab,-,ab,ab,-,ab,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,cc,cc,cc,ab,ab,ab,ab,ab,-,-,aa,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P38_D1_200,-,-,-,ab,cc,cc,bb,cc,ab,-,-,ab,-,ab,aa,ab,-,-,ab,-,ab,ab,-,-,ab,-,ab,ab,cc,-,-,-,cc,-,cc,cc,ab,bb,ab,cc,cc,cc,-,-,cc,cc,ab,-,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,-,-,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P39_D2_184,-,-,-,ab,cc,cc,ab,cc,ab,-,-,ab,-,-,-,ab,-,-,aa,-,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,-,-,-,ab,-,-,-,ab,aa,-,ab,ab,ab,-,aa,bb,-,bb,aa,-,-,-,-,cc,ab,-,-,-,ab,ab,cc
P6xSC_P3_A2_178,-,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,bb,ab,ab,ab,ab,bb,ab,ab,ab,ab,cc,ab,ab,ab,ab,ab,cc,-,-,cc,-,cc,cc,cc,ab,ab,ab,cc,cc,cc,aa,cc,-,-,-,-,-,-,-,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,ac,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P41_D4_152,-,-,-,ab,cc,cc,ab,cc,ab,-,-,ab,-,-,-,ab,-,-,ab,ab,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,bb,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,-,-,-,-,-,-,-,aa,-,-,-,aa,-,-,-,-,-,ab,-,-,-,ac,ab,-
P6xSC_P42_D5_120,-,ab,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,-,-,ab,-,ab,ab,-,-,ab,-,ab,ab,cc,-,cc,-,cc,cc,cc,cc,ab,-,ab,cc,cc,cc,-,cc,cc,cc,ab,-,ab,ab,ab,-,-,ab,ab,-,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,-,aa,cc,ab,cc,-,aa,ab,ab,cc
P6xSC_P43_D6_134,-,ab,-,ab,cc,cc,-,-,ab,-,ab,ab,-,ab,-,ab,-,-,ab,ab,ab,ab,-,ab,bb,-,ab,-,cc,-,-,cc,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,ab,ab,-,-,-,bb,ab,-,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,-,-,cc,ab,-,-,-,ab,ab,-
P6xSC_P44_D7_176,-,-,-,ab,cc,cc,-,-,-,-,-,ab,-,-,-,ab,-,-,aa,-,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,-,-,aa,-,-,-,-,-,ab,-,-,-,ab,ab,-
P6xSC_P45_D8_120,ab,ab,ab,ab,cc,cc,ab,cc,-,-,-,ab,-,-,ab,ab,-,-,ab,-,ab,ab,-,-,ab,-,ab,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,-,ab,ab,ab,aa,aa,bb,-,bb,aa,-,-,-,-,cc,ab,cc,-,ac,ab,ab,cc
P6xSC_P47_D10_148,aa,ab,-,ab,cc,cc,bb,-,ab,-,ab,ab,-,-,ab,ab,-,-,ab,ab,aa,ab,-,-,ab,-,ab,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,-,cc,ab,-,-,ab,-,-,-,ab,aa,-,ab,bb,ab,-,aa,bb,bb,-,aa,-,-,-,-,cc,ab,cc,-,ac,-,ab,-
P6xSC_P48_D11_160,-,ab,-,ab,cc,cc,ab,cc,ab,-,-,ab,-,-,ab,ab,-,-,ab,bb,ab,ab,-,ab,ab,-,ab,ab,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,ab,-,ab,ab,-,-,ab,ab,ab,ab,ab,ab,-,aa,bb,bb,bb,aa,-,-,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P49_D12_122,-,ab,ab,ab,cc,cc,bb,cc,ab,ab,-,ab,-,-,ab,ab,ab,-,ab,ab,-,ab,-,-,ab,-,ab,ab,cc,-,cc,-,cc,-,cc,cc,ab,bb,ab,cc,cc,cc,ab,-,cc,cc,ab,ab,ab,ab,-,-,-,ab,ab,-,ab,ab,ab,-,aa,bb,bb,bb,-,-,-,cc,aa,-,ab,-,-,-,ab,ab,cc
P6xSC_P4_A3_162,-,ab,ab,ab,cc,cc,ab,cc,ab,ab,ab,ab,ab,ab,ab,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,cc,-,cc,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,ab,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,cc,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P50_E1_202,-,-,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,-,-,aa,-,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,-,cc,cc,ab,bb,ab,cc,cc,cc,-,cc,cc,cc,ab,-,-,ab,ab,-,-,ab,ab,-,ab,aa,ab,-,aa,bb,bb,-,aa,-,-,-,-,cc,ab,cc,-,-,-,ab,cc
P6xSC_P51_E2_186,-,ab,ab,ab,cc,cc,bb,cc,-,-,ab,ab,-,-,ab,ab,ab,-,aa,ab,ab,-,-,-,aa,-,ab,ab,cc,-,-,-,cc,cc,cc,cc,ab,ab,ab,-,cc,cc,-,-,cc,cc,ab,ab,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,-,-,cc,ab,cc,-,-,ab,-,cc
P6xSC_P52_E3_170,-,ab,-,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,ab,-,ab,-,cc,-,-,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,-,-,ab,ab,ab,-,ab,ab,ab,ab,ab,-,-,cc,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P53_E4_154,-,-,ab,ab,cc,cc,ab,cc,-,-,ab,ab,-,-,-,ab,-,-,ab,ab,-,-,-,-,-,-,-,-,-,-,-,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,ab,-,cc,cc,ab,-,-,ab,aa,-,-,ab,ab,ab,ab,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,cc,-,ab,cc,-,-,bb,ab,-
P6xSC_P54_E5_122,-,-,ab,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,-,-,ab,ab,ab,ab,-,aa,ab,-,ab,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,ab,-,-,ab,-,-,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,-,-,cc,cc,bb,cc,-,-,ab,ab,cc
P6xSC_P55_E6_136,-,-,ab,ab,cc,cc,bb,cc,ab,-,ab,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,-,ab,ab,-,--,-,cc,-,cc,-,cc,-,cc,cc,ab,ab,ab,cc,cc,cc,-,-,cc,cc,aa,-,ab,ab,-,-,-,ab,ab,ab,ab,ab,ab,aa,aa,bb,bb,bb,aa,-,-,-,aa,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P56_E7_192,-,-,-,ab,cc,cc,ab,cc,ab,-,ab,ab,-,-,ab,ab,ab,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,bb,ab,cc,cc,cc,ab,-,cc,cc,ab,ab,ab,ab,ab,-,-,ab,ab,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,-,cc,cc,cc,ab,cc,-,-,ab,ab,cc
P6xSC_P57_E8_122,ab,-,-,ab,cc,cc,ab,cc,-,-,-,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,-,cc,cc,ab,-,cc,cc,ab,-,ab,ab,ab,-,-,ab,ab,ab,ab,ab,ab,aa,ab,aa,ab,ab,ab,-,-,-,cc,cc,ab,cc,-,ac,aa,ab,cc
P6xSC_P58_E9_136,-,ab,ab,ab,cc,cc,bb,cc,ab,ab,ab,ab,-,ab,bb,ab,ab,bb,ab,ab,ab,ab,-,-,-,-,-,-,cc,-,cc,-,cc,cc,cc,cc,ab,ab,ab,cc,cc,cc,ab,cc,cc,cc,ab,-,ab,ab,ab,cc,-,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,ab,cc,-,cc,cc,ab,cc,-,-,ab,ab,cc
