strain,chr,start.pos,length,prop.o.arm,arm
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,204486,16572,0.7921,left
P6xSC_P14_B1_196,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P14_B1_196,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,936422,217785,0.0482,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P14_B1_196,Ca21chr6_C_albicans_SC5314,204486,16572,0.7921,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,1345793,1336307,0.1406,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,1336307,355539,0.1467,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,1345793,1336307,0.1406,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,1336307,355539,0.1467,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P15_B2_180,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P15_B2_180,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,1397640,1395146,0.1075,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,1395146,355539,0.1091,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,343770,151196,0.7805,left
P6xSC_P16_B3_164,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P16_B3_164,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,936425,904727,0.0481,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,904727,643004,0.0804,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,1397640,1395146,0.1075,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,1395146,355539,0.1091,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P16_B3_164,Ca21chr1_C_albicans_SC5314,343770,151196,0.7805,left
P6xSC_P16_B3_164,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P16_B3_164,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,936425,904727,0.0481,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,904727,643004,0.0804,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P16_B3_164,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,2267886,2282805,0.4327,right
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,2282805,3177404,0.4419,right
P6xSC_P20_B7_144,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P20_B7_144,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,2267886,2282805,0.4327,right
P6xSC_P20_B7_144,Ca21chr1_C_albicans_SC5314,2282805,3177404,0.4419,right
P6xSC_P20_B7_144,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P20_B7_144,Ca21chr4_C_albicans_SC5314,1588018,1591307,0.9802,right
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P20_B7_144,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P21_B8_116,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P21_B8_116,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,643004,608422,0.3464,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,608422,602948,0.3816,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,462156,183165,0.5302,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P21_B8_116,Ca21chrR_C_albicans_SC5314,1450462,70677,0.1701,left
P6xSC_P21_B8_116,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P21_B8_116,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,643004,608422,0.3464,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,608422,602948,0.3816,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,462156,183165,0.5302,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P21_B8_116,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P21_B8_116,Ca21chrR_C_albicans_SC5314,1450462,70677,0.1701,left
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,367868,343770,0.7651,left
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,1679932,1768491,0.071,right
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,1768491,3177404,0.1255,right
P6xSC_P23_B10_144,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P23_B10_144,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,643004,608422,0.3464,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,608422,602948,0.3816,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,462156,183165,0.5302,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,367868,343770,0.7651,left
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,1679932,1768491,0.071,right
P6xSC_P23_B10_144,Ca21chr1_C_albicans_SC5314,1768491,3177404,0.1255,right
P6xSC_P23_B10_144,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P23_B10_144,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,643004,608422,0.3464,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,608422,602948,0.3816,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,462156,183165,0.5302,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P23_B10_144,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P24_B11_156,Ca21chr1_C_albicans_SC5314,367868,360421,0.7651,left
P6xSC_P24_B11_156,Ca21chr1_C_albicans_SC5314,360421,140213,0.7698,left
P6xSC_P24_B11_156,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P24_B11_156,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,643004,608422,0.3464,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,608422,587010,0.3816,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,587010,587007,0.4033,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,587007,183165,0.4033,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,172638,23871,0.8245,left
P6xSC_P24_B11_156,Ca21chr1_C_albicans_SC5314,367868,360421,0.7651,left
P6xSC_P24_B11_156,Ca21chr1_C_albicans_SC5314,360421,140213,0.7698,left
P6xSC_P24_B11_156,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P24_B11_156,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,643004,608422,0.3464,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,608422,587010,0.3816,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,587010,587007,0.4033,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,587007,183165,0.4033,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P24_B11_156,Ca21chr6_C_albicans_SC5314,172638,23871,0.8245,left
P6xSC_P25_B12_118,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P25_B12_118,Ca21chr1_C_albicans_SC5314,343770,151196,0.7805,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,712505,619998,0.6309,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,619998,369569,0.6788,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,369569,296487,0.8085,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,296487,8421,0.8464,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P25_B12_118,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P25_B12_118,Ca21chr1_C_albicans_SC5314,343770,151196,0.7805,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,712505,619998,0.6309,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,619998,369569,0.6788,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,369569,296487,0.8085,left
P6xSC_P25_B12_118,Ca21chr2_C_albicans_SC5314,296487,8421,0.8464,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P25_B12_118,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P26_C1_198,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P26_C1_198,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P26_C1_198,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P26_C1_198,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,780168,762439,0.207,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,762439,643004,0.225,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,643004,615807,0.3464,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,615807,602948,0.374,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,602948,587007,0.3871,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,587007,514584,0.4033,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,514584,462156,0.4769,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,462156,217785,0.5302,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,217785,204486,0.7786,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,204486,183165,0.7921,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,183165,172638,0.8138,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,172638,16572,0.8245,left
P6xSC_P26_C1_198,Ca21chr1_C_albicans_SC5314,355539,343770,0.773,left
P6xSC_P26_C1_198,Ca21chr1_C_albicans_SC5314,343770,140213,0.7805,left
P6xSC_P26_C1_198,Ca21chr3_C_albicans_SC5314,209395,161198,0.7466,left
P6xSC_P26_C1_198,Ca21chr3_C_albicans_SC5314,161198,12891,0.805,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,936425,936422,0.0481,left
P6xSC_P26_C1_198,Ca21chr6_C_albicans_SC5314,936422,780168,0.0482,left
