Chromosome,Chr_Position,,
Ca21chr1_C_albicans_SC5314,157860,16,
Ca21chr1_C_albicans_SC5314,157876,89,
Ca21chr1_C_albicans_SC5314,157965,435,
Ca21chr1_C_albicans_SC5314,158400,733,
Ca21chr1_C_albicans_SC5314,159133,4364,
Ca21chr1_C_albicans_SC5314,163497,183,
Ca21chr1_C_albicans_SC5314,163680,130,
Ca21chr1_C_albicans_SC5314,163810,20,
Ca21chr1_C_albicans_SC5314,163830,129,
Ca21chr1_C_albicans_SC5314,163959,91,
Ca21chr1_C_albicans_SC5314,164050,562,
Ca21chr1_C_albicans_SC5314,164612,1047,
Ca21chr1_C_albicans_SC5314,165659,1139,
Ca21chr1_C_albicans_SC5314,166798,986,
Ca21chr1_C_albicans_SC5314,167784,6239,
Ca21chr1_C_albicans_SC5314,174023,129,
Ca21chr1_C_albicans_SC5314,174152,7206,
Ca21chr1_C_albicans_SC5314,181358,2,
Ca21chr1_C_albicans_SC5314,181360,208,
Ca21chr1_C_albicans_SC5314,181568,501,
Ca21chr1_C_albicans_SC5314,182069,3432,
Ca21chr1_C_albicans_SC5314,185501,240,
Ca21chr1_C_albicans_SC5314,185741,158,
Ca21chr1_C_albicans_SC5314,185899,2120,
Ca21chr1_C_albicans_SC5314,188019,61,
Ca21chr1_C_albicans_SC5314,188080,314,
Ca21chr1_C_albicans_SC5314,188394,24,
Ca21chr1_C_albicans_SC5314,188418,998,
Ca21chr1_C_albicans_SC5314,189416,549,
Ca21chr1_C_albicans_SC5314,189965,1339,
Ca21chr1_C_albicans_SC5314,191304,824,
Ca21chr1_C_albicans_SC5314,192128,54,
Ca21chr1_C_albicans_SC5314,192182,75,
Ca21chr1_C_albicans_SC5314,192257,90,
Ca21chr1_C_albicans_SC5314,192347,1117,
Ca21chr1_C_albicans_SC5314,193464,57,
Ca21chr1_C_albicans_SC5314,193521,1028,
Ca21chr1_C_albicans_SC5314,194549,10,
Ca21chr1_C_albicans_SC5314,194559,1368,
Ca21chr1_C_albicans_SC5314,195927,420,
Ca21chr1_C_albicans_SC5314,196347,425,
Ca21chr1_C_albicans_SC5314,196772,1481,
Ca21chr1_C_albicans_SC5314,198253,34,
Ca21chr1_C_albicans_SC5314,198287,1221,
Ca21chr1_C_albicans_SC5314,199508,217,
Ca21chr1_C_albicans_SC5314,199725,797,
Ca21chr1_C_albicans_SC5314,200522,419,
Ca21chr1_C_albicans_SC5314,200941,1253,
Ca21chr1_C_albicans_SC5314,202194,1379,
Ca21chr1_C_albicans_SC5314,203573,6555,
Ca21chr1_C_albicans_SC5314,210128,50,
Ca21chr1_C_albicans_SC5314,210178,309,
Ca21chr1_C_albicans_SC5314,210487,500,
Ca21chr1_C_albicans_SC5314,210987,67,
Ca21chr1_C_albicans_SC5314,211054,58,
Ca21chr1_C_albicans_SC5314,211112,799,
Ca21chr1_C_albicans_SC5314,211911,51,
Ca21chr1_C_albicans_SC5314,211962,229,
Ca21chr1_C_albicans_SC5314,212191,635,
Ca21chr1_C_albicans_SC5314,212826,215,
Ca21chr1_C_albicans_SC5314,213041,740,
Ca21chr1_C_albicans_SC5314,213781,906,
Ca21chr1_C_albicans_SC5314,214687,21,
Ca21chr1_C_albicans_SC5314,214708,1059,
Ca21chr1_C_albicans_SC5314,215767,3,
Ca21chr1_C_albicans_SC5314,215770,78,
Ca21chr1_C_albicans_SC5314,215848,9,
Ca21chr1_C_albicans_SC5314,215857,468,
Ca21chr1_C_albicans_SC5314,216325,1290,
Ca21chr1_C_albicans_SC5314,217615,12,
Ca21chr1_C_albicans_SC5314,217627,2914,
Ca21chr1_C_albicans_SC5314,220541,580,
Ca21chr1_C_albicans_SC5314,221121,48,
Ca21chr1_C_albicans_SC5314,221169,300,
Ca21chr1_C_albicans_SC5314,221469,54,
Ca21chr1_C_albicans_SC5314,221523,476,
Ca21chr1_C_albicans_SC5314,221999,1193,
Ca21chr1_C_albicans_SC5314,223192,218,
Ca21chr1_C_albicans_SC5314,223410,14,
Ca21chr1_C_albicans_SC5314,223424,404,
Ca21chr1_C_albicans_SC5314,223828,73,
Ca21chr1_C_albicans_SC5314,223901,112,
Ca21chr1_C_albicans_SC5314,224013,20,
Ca21chr1_C_albicans_SC5314,224033,49,
Ca21chr1_C_albicans_SC5314,224082,304,
Ca21chr1_C_albicans_SC5314,224386,481,
Ca21chr1_C_albicans_SC5314,224867,16,
Ca21chr1_C_albicans_SC5314,224883,173,
Ca21chr1_C_albicans_SC5314,225056,2139,
Ca21chr1_C_albicans_SC5314,227195,417,
Ca21chr1_C_albicans_SC5314,227612,1427,
Ca21chr1_C_albicans_SC5314,229039,189,
Ca21chr1_C_albicans_SC5314,229228,1690,
Ca21chr1_C_albicans_SC5314,230918,510,
Ca21chr1_C_albicans_SC5314,231428,319,
Ca21chr1_C_albicans_SC5314,231747,8,
Ca21chr1_C_albicans_SC5314,231755,460,
Ca21chr1_C_albicans_SC5314,232215,300,
Ca21chr1_C_albicans_SC5314,232515,488,
Ca21chr1_C_albicans_SC5314,233003,363,
Ca21chr1_C_albicans_SC5314,233366,420,
Ca21chr1_C_albicans_SC5314,233786,3,
Ca21chr1_C_albicans_SC5314,233789,3448,
Ca21chr1_C_albicans_SC5314,237237,222,
Ca21chr1_C_albicans_SC5314,237459,381,
Ca21chr1_C_albicans_SC5314,237840,530,
Ca21chr1_C_albicans_SC5314,238370,36,
Ca21chr1_C_albicans_SC5314,238406,462,
Ca21chr1_C_albicans_SC5314,238868,259,
Ca21chr1_C_albicans_SC5314,239127,360,
Ca21chr1_C_albicans_SC5314,239487,1591,
Ca21chr1_C_albicans_SC5314,241078,2,
Ca21chr1_C_albicans_SC5314,241080,130,
Ca21chr1_C_albicans_SC5314,241210,1082,
Ca21chr1_C_albicans_SC5314,242292,19,
Ca21chr1_C_albicans_SC5314,242311,14,
Ca21chr1_C_albicans_SC5314,242325,442,
Ca21chr1_C_albicans_SC5314,242767,150,
Ca21chr1_C_albicans_SC5314,242917,30,
Ca21chr1_C_albicans_SC5314,242947,49,
Ca21chr1_C_albicans_SC5314,242996,107,
Ca21chr1_C_albicans_SC5314,243103,282,
Ca21chr1_C_albicans_SC5314,243385,75,
Ca21chr1_C_albicans_SC5314,243460,1287,
Ca21chr1_C_albicans_SC5314,244747,303,
Ca21chr1_C_albicans_SC5314,245050,410,
Ca21chr1_C_albicans_SC5314,245460,253,
Ca21chr1_C_albicans_SC5314,245713,65,
Ca21chr1_C_albicans_SC5314,245778,21,
Ca21chr1_C_albicans_SC5314,245799,48,
Ca21chr1_C_albicans_SC5314,245847,87,
Ca21chr1_C_albicans_SC5314,245934,24,
Ca21chr1_C_albicans_SC5314,245958,71,
Ca21chr1_C_albicans_SC5314,246029,16,
Ca21chr1_C_albicans_SC5314,246045,85,
Ca21chr1_C_albicans_SC5314,246130,43,
Ca21chr1_C_albicans_SC5314,246173,109,
Ca21chr1_C_albicans_SC5314,246282,49,
Ca21chr1_C_albicans_SC5314,246331,101,
Ca21chr1_C_albicans_SC5314,246432,33,
Ca21chr1_C_albicans_SC5314,246465,64,
Ca21chr1_C_albicans_SC5314,246529,128,
Ca21chr1_C_albicans_SC5314,246657,72,
Ca21chr1_C_albicans_SC5314,246729,500,
Ca21chr1_C_albicans_SC5314,247229,50,
Ca21chr1_C_albicans_SC5314,247279,4,
Ca21chr1_C_albicans_SC5314,247283,351,
Ca21chr1_C_albicans_SC5314,247634,15,
Ca21chr1_C_albicans_SC5314,247649,360,
Ca21chr1_C_albicans_SC5314,248009,81,
Ca21chr1_C_albicans_SC5314,248090,52,
Ca21chr1_C_albicans_SC5314,248142,334,
Ca21chr1_C_albicans_SC5314,248476,537,
Ca21chr1_C_albicans_SC5314,249013,132,
Ca21chr1_C_albicans_SC5314,249145,495,
Ca21chr1_C_albicans_SC5314,249640,210,
Ca21chr1_C_albicans_SC5314,249850,613,
Ca21chr1_C_albicans_SC5314,250463,104,
Ca21chr1_C_albicans_SC5314,250567,105,
Ca21chr1_C_albicans_SC5314,250672,2339,
Ca21chr1_C_albicans_SC5314,253011,190,
Ca21chr1_C_albicans_SC5314,253201,109,
Ca21chr1_C_albicans_SC5314,253310,1518,
Ca21chr1_C_albicans_SC5314,254828,1711,
Ca21chr1_C_albicans_SC5314,256539,1274,
Ca21chr1_C_albicans_SC5314,257813,2772,
Ca21chr1_C_albicans_SC5314,260585,1367,
Ca21chr1_C_albicans_SC5314,261952,246,
Ca21chr1_C_albicans_SC5314,262198,18,
Ca21chr1_C_albicans_SC5314,262216,72,
Ca21chr1_C_albicans_SC5314,262288,22,
Ca21chr1_C_albicans_SC5314,262310,247,
Ca21chr1_C_albicans_SC5314,262557,116,
Ca21chr1_C_albicans_SC5314,262673,1052,
Ca21chr1_C_albicans_SC5314,263725,72,
Ca21chr1_C_albicans_SC5314,263797,159,
Ca21chr1_C_albicans_SC5314,263956,75,
Ca21chr1_C_albicans_SC5314,264031,357,
Ca21chr1_C_albicans_SC5314,264388,629,
Ca21chr1_C_albicans_SC5314,265017,1113,
Ca21chr1_C_albicans_SC5314,266130,3543,
Ca21chr1_C_albicans_SC5314,269673,1322,
Ca21chr1_C_albicans_SC5314,270995,531,
Ca21chr1_C_albicans_SC5314,271526,81,
Ca21chr1_C_albicans_SC5314,271607,145,
Ca21chr1_C_albicans_SC5314,271752,630,
Ca21chr1_C_albicans_SC5314,272382,144,
Ca21chr1_C_albicans_SC5314,272526,1146,
Ca21chr1_C_albicans_SC5314,273672,286,
Ca21chr1_C_albicans_SC5314,273958,15,
Ca21chr1_C_albicans_SC5314,273973,27,
Ca21chr1_C_albicans_SC5314,274000,258,
Ca21chr1_C_albicans_SC5314,274258,24,
Ca21chr1_C_albicans_SC5314,274282,27,
Ca21chr1_C_albicans_SC5314,274309,96,
Ca21chr1_C_albicans_SC5314,274405,759,
Ca21chr1_C_albicans_SC5314,275164,107,
Ca21chr1_C_albicans_SC5314,275271,137,
Ca21chr1_C_albicans_SC5314,275408,578,
Ca21chr1_C_albicans_SC5314,275986,75,
Ca21chr1_C_albicans_SC5314,276061,765,
Ca21chr1_C_albicans_SC5314,276826,712,
Ca21chr1_C_albicans_SC5314,277538,218,
Ca21chr1_C_albicans_SC5314,277756,15,
Ca21chr1_C_albicans_SC5314,277771,147,
Ca21chr1_C_albicans_SC5314,277918,398,
Ca21chr1_C_albicans_SC5314,278316,235,
Ca21chr1_C_albicans_SC5314,278551,725,
Ca21chr1_C_albicans_SC5314,279276,6,
Ca21chr1_C_albicans_SC5314,279282,222,
Ca21chr1_C_albicans_SC5314,279504,227,
Ca21chr1_C_albicans_SC5314,279731,1096,
Ca21chr1_C_albicans_SC5314,280827,620,
Ca21chr1_C_albicans_SC5314,281447,8,
Ca21chr1_C_albicans_SC5314,281455,1010,
Ca21chr1_C_albicans_SC5314,282465,1566,
Ca21chr1_C_albicans_SC5314,284031,1200,
Ca21chr1_C_albicans_SC5314,285231,159,
Ca21chr1_C_albicans_SC5314,285390,714,
Ca21chr1_C_albicans_SC5314,286104,299,
Ca21chr1_C_albicans_SC5314,286403,3,
Ca21chr1_C_albicans_SC5314,286406,426,
Ca21chr1_C_albicans_SC5314,286832,186,
Ca21chr1_C_albicans_SC5314,287018,717,
Ca21chr1_C_albicans_SC5314,287735,178,
Ca21chr1_C_albicans_SC5314,287913,264,
Ca21chr1_C_albicans_SC5314,288177,126,
Ca21chr1_C_albicans_SC5314,288303,426,
Ca21chr1_C_albicans_SC5314,288729,30,
Ca21chr1_C_albicans_SC5314,288759,44,
Ca21chr1_C_albicans_SC5314,288803,260,
Ca21chr1_C_albicans_SC5314,289063,110,
Ca21chr1_C_albicans_SC5314,289173,1778,
Ca21chr1_C_albicans_SC5314,290951,75,
Ca21chr1_C_albicans_SC5314,291026,55,
Ca21chr1_C_albicans_SC5314,291081,263,
Ca21chr1_C_albicans_SC5314,291344,15,
Ca21chr1_C_albicans_SC5314,291359,93,
Ca21chr1_C_albicans_SC5314,291452,1132,
Ca21chr1_C_albicans_SC5314,292584,66,
Ca21chr1_C_albicans_SC5314,292650,15,
Ca21chr1_C_albicans_SC5314,292665,309,
Ca21chr1_C_albicans_SC5314,292974,415,
Ca21chr1_C_albicans_SC5314,293389,57,
Ca21chr1_C_albicans_SC5314,293446,117,
Ca21chr1_C_albicans_SC5314,293563,39,
Ca21chr1_C_albicans_SC5314,293602,442,
Ca21chr1_C_albicans_SC5314,294044,17,
Ca21chr1_C_albicans_SC5314,294061,32,
Ca21chr1_C_albicans_SC5314,294093,418,
Ca21chr1_C_albicans_SC5314,294511,22,
Ca21chr1_C_albicans_SC5314,294533,999,
Ca21chr1_C_albicans_SC5314,295532,2616,
Ca21chr1_C_albicans_SC5314,298148,370,
Ca21chr1_C_albicans_SC5314,298518,1958,
Ca21chr1_C_albicans_SC5314,300476,2199,
Ca21chr1_C_albicans_SC5314,302675,1268,
Ca21chr1_C_albicans_SC5314,303943,190,
Ca21chr1_C_albicans_SC5314,304133,2908,
Ca21chr1_C_albicans_SC5314,307041,183,
Ca21chr1_C_albicans_SC5314,307224,261,
Ca21chr1_C_albicans_SC5314,307485,120,
Ca21chr1_C_albicans_SC5314,307605,1219,
Ca21chr1_C_albicans_SC5314,308824,33,
Ca21chr1_C_albicans_SC5314,308857,878,
Ca21chr1_C_albicans_SC5314,309735,2212,
Ca21chr1_C_albicans_SC5314,311947,7,
Ca21chr1_C_albicans_SC5314,311954,1867,
Ca21chr1_C_albicans_SC5314,313821,61,
Ca21chr1_C_albicans_SC5314,313882,878,
Ca21chr1_C_albicans_SC5314,314760,7819,
Ca21chr1_C_albicans_SC5314,322579,3,
Ca21chr1_C_albicans_SC5314,322582,285,
Ca21chr1_C_albicans_SC5314,322867,12,
Ca21chr1_C_albicans_SC5314,322879,2143,
Ca21chr1_C_albicans_SC5314,325022,2,
Ca21chr1_C_albicans_SC5314,325024,1188,
Ca21chr1_C_albicans_SC5314,326212,216,
Ca21chr1_C_albicans_SC5314,326428,104,
Ca21chr1_C_albicans_SC5314,326532,3,
Ca21chr1_C_albicans_SC5314,326535,4044,
Ca21chr1_C_albicans_SC5314,330579,326,
Ca21chr1_C_albicans_SC5314,330905,3375,
Ca21chr1_C_albicans_SC5314,334280,157,
Ca21chr1_C_albicans_SC5314,334437,185,
Ca21chr1_C_albicans_SC5314,334622,1804,
Ca21chr1_C_albicans_SC5314,336426,485,
Ca21chr1_C_albicans_SC5314,336911,3,
Ca21chr1_C_albicans_SC5314,336914,359,
Ca21chr1_C_albicans_SC5314,337273,888,
Ca21chr1_C_albicans_SC5314,338161,185,
Ca21chr1_C_albicans_SC5314,338346,129,
Ca21chr1_C_albicans_SC5314,338475,79,
Ca21chr1_C_albicans_SC5314,338554,279,
Ca21chr1_C_albicans_SC5314,338833,23,
Ca21chr1_C_albicans_SC5314,338856,1265,
Ca21chr1_C_albicans_SC5314,340121,3008,
Ca21chr1_C_albicans_SC5314,343129,1159,
Ca21chr1_C_albicans_SC5314,344288,170,
Ca21chr1_C_albicans_SC5314,344458,252,
Ca21chr1_C_albicans_SC5314,344710,347,
Ca21chr1_C_albicans_SC5314,345057,519,
Ca21chr1_C_albicans_SC5314,345576,2153,
Ca21chr1_C_albicans_SC5314,347729,84,
Ca21chr1_C_albicans_SC5314,347813,93,
Ca21chr1_C_albicans_SC5314,347906,137,
Ca21chr1_C_albicans_SC5314,348043,589,
Ca21chr1_C_albicans_SC5314,348632,3,
Ca21chr1_C_albicans_SC5314,348635,230,
Ca21chr1_C_albicans_SC5314,348865,732,
Ca21chr1_C_albicans_SC5314,349597,317,
Ca21chr1_C_albicans_SC5314,349914,1145,
Ca21chr1_C_albicans_SC5314,351059,136,
Ca21chr1_C_albicans_SC5314,351195,38,
Ca21chr1_C_albicans_SC5314,351233,66,
Ca21chr1_C_albicans_SC5314,351299,67,
Ca21chr1_C_albicans_SC5314,351366,271,
Ca21chr1_C_albicans_SC5314,351637,43,
Ca21chr1_C_albicans_SC5314,351680,34,
Ca21chr1_C_albicans_SC5314,351714,248,
Ca21chr1_C_albicans_SC5314,351962,1212,
Ca21chr1_C_albicans_SC5314,353174,52,
Ca21chr1_C_albicans_SC5314,353226,534,
Ca21chr1_C_albicans_SC5314,353760,599,
Ca21chr1_C_albicans_SC5314,354359,1162,
Ca21chr1_C_albicans_SC5314,355521,30,
Ca21chr1_C_albicans_SC5314,355551,274,
Ca21chr1_C_albicans_SC5314,355825,183,
Ca21chr1_C_albicans_SC5314,356008,102,
Ca21chr1_C_albicans_SC5314,356110,760,
Ca21chr1_C_albicans_SC5314,356870,531,
Ca21chr1_C_albicans_SC5314,357401,21,
Ca21chr1_C_albicans_SC5314,357422,843,
Ca21chr1_C_albicans_SC5314,358265,1030,
