Sample Name, Recombined Chromosome, Recombination Start Site (bp),, Recombination Event Length (bp),
MAY156.GT,Ca21chr1_C_albicans_SC5314,1171945,Ca21chr1_C_albicans_SC5314:1171945,21,Not real
MAY157.GT,Ca21chr1_C_albicans_SC5314,1171945,Ca21chr1_C_albicans_SC5314:1171945,21,Not real
MAY156.GT,Ca21chr1_C_albicans_SC5314,2616453,Ca21chr1_C_albicans_SC5314:2616453,22,Not real
MAY156.GT,Ca21chr2_C_albicans_SC5314,869986,Ca21chr2_C_albicans_SC5314:869986,22,Not real
MAY157.GT,Ca21chr1_C_albicans_SC5314,2616453,Ca21chr1_C_albicans_SC5314:2616453,22,
MAY155.GT,Ca21chr7_C_albicans_SC5314,916983,Ca21chr7_C_albicans_SC5314:916983,23,
MAY156.GT,Ca21chr7_C_albicans_SC5314,916983,Ca21chr7_C_albicans_SC5314:916983,23,
MAY157.GT,Ca21chr7_C_albicans_SC5314,916983,Ca21chr7_C_albicans_SC5314:916983,23,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1485804,Ca21chrR_C_albicans_SC5314:1485804,24,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1485804,Ca21chrR_C_albicans_SC5314:1485804,24,
MAY157.GT,Ca21chr6_C_albicans_SC5314,657591,Ca21chr6_C_albicans_SC5314:657591,24,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1443466,Ca21chrR_C_albicans_SC5314:1443466,26,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1443466,Ca21chrR_C_albicans_SC5314:1443466,26,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1443466,Ca21chrR_C_albicans_SC5314:1443466,26,
MAY158.GT,Ca21chr5_C_albicans_SC5314,898588,Ca21chr5_C_albicans_SC5314:898588,26,
MAY154.GT,Ca21chr3_C_albicans_SC5314,1151917,Ca21chr3_C_albicans_SC5314:1151917,27,
MAY155.GT,Ca21chr3_C_albicans_SC5314,1151917,Ca21chr3_C_albicans_SC5314:1151917,27,
MAY156.GT,Ca21chr3_C_albicans_SC5314,1151917,Ca21chr3_C_albicans_SC5314:1151917,27,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2006507,Ca21chr1_C_albicans_SC5314:2006507,29,
MAY154.GT,Ca21chr2_C_albicans_SC5314,2195617,Ca21chr2_C_albicans_SC5314:2195617,29,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2006507,Ca21chr1_C_albicans_SC5314:2006507,29,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2006507,Ca21chr1_C_albicans_SC5314:2006507,29,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2006507,Ca21chr1_C_albicans_SC5314:2006507,29,
MAY157.GT,Ca21chr2_C_albicans_SC5314,2195617,Ca21chr2_C_albicans_SC5314:2195617,29,
MAY157.GT,Ca21chr7_C_albicans_SC5314,482446,Ca21chr7_C_albicans_SC5314:482446,29,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2006507,Ca21chr1_C_albicans_SC5314:2006507,29,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1046488,Ca21chr1_C_albicans_SC5314:1046488,30,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1459582,Ca21chrR_C_albicans_SC5314:1459582,30,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1310316,Ca21chrR_C_albicans_SC5314:1310316,30,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1046488,Ca21chr1_C_albicans_SC5314:1046488,30,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1459582,Ca21chrR_C_albicans_SC5314:1459582,30,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1310316,Ca21chrR_C_albicans_SC5314:1310316,30,
MAY155.GT,Ca21chrR_C_albicans_SC5314,847266,Ca21chrR_C_albicans_SC5314:847266,30,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1046488,Ca21chr1_C_albicans_SC5314:1046488,30,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1459582,Ca21chrR_C_albicans_SC5314:1459582,30,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1046488,Ca21chr1_C_albicans_SC5314:1046488,30,
MAY157.GT,Ca21chr4_C_albicans_SC5314,993080,Ca21chr4_C_albicans_SC5314:993080,30,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1459582,Ca21chrR_C_albicans_SC5314:1459582,30,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1046488,Ca21chr1_C_albicans_SC5314:1046488,30,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1459582,Ca21chrR_C_albicans_SC5314:1459582,30,
MAY155.GT,Ca21chr1_C_albicans_SC5314,238406,Ca21chr1_C_albicans_SC5314:238406,36,
MAY156.GT,Ca21chr1_C_albicans_SC5314,238406,Ca21chr1_C_albicans_SC5314:238406,36,
MAY158.GT,Ca21chr1_C_albicans_SC5314,238406,Ca21chr1_C_albicans_SC5314:238406,36,
MAY156.GT,Ca21chr3_C_albicans_SC5314,570155,Ca21chr3_C_albicans_SC5314:570155,37,
MAY157.GT,Ca21chr3_C_albicans_SC5314,1506591,Ca21chr3_C_albicans_SC5314:1506591,37,
MAY154.GT,Ca21chr1_C_albicans_SC5314,930900,Ca21chr1_C_albicans_SC5314:930900,39,
MAY155.GT,Ca21chr1_C_albicans_SC5314,930900,Ca21chr1_C_albicans_SC5314:930900,39,
MAY156.GT,Ca21chr1_C_albicans_SC5314,930900,Ca21chr1_C_albicans_SC5314:930900,39,
MAY157.GT,Ca21chr1_C_albicans_SC5314,3044042,Ca21chr1_C_albicans_SC5314:3044042,39,
MAY158.GT,Ca21chr1_C_albicans_SC5314,3044042,Ca21chr1_C_albicans_SC5314:3044042,39,
MAY155.GT,Ca21chr7_C_albicans_SC5314,777409,Ca21chr7_C_albicans_SC5314:777409,41,
MAY154.GT,Ca21chr7_C_albicans_SC5314,172487,Ca21chr7_C_albicans_SC5314:172487,42,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2616432,Ca21chr1_C_albicans_SC5314:2616432,43,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2616432,Ca21chr1_C_albicans_SC5314:2616432,43,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1353833,Ca21chr1_C_albicans_SC5314:1353833,44,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1353833,Ca21chr1_C_albicans_SC5314:1353833,44,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2417072,Ca21chr1_C_albicans_SC5314:2417072,46,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2417072,Ca21chr1_C_albicans_SC5314:2417072,46,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2417072,Ca21chr1_C_albicans_SC5314:2417072,46,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2417072,Ca21chr1_C_albicans_SC5314:2417072,46,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1726599,Ca21chr1_C_albicans_SC5314:1726599,47,
MAY157.GT,Ca21chr2_C_albicans_SC5314,1986335,Ca21chr2_C_albicans_SC5314:1986335,47,
MAY154.GT,Ca21chrR_C_albicans_SC5314,128983,Ca21chrR_C_albicans_SC5314:128983,48,
MAY156.GT,Ca21chrR_C_albicans_SC5314,128983,Ca21chrR_C_albicans_SC5314:128983,48,
MAY157.GT,Ca21chr3_C_albicans_SC5314,570118,Ca21chr3_C_albicans_SC5314:570118,48,
MAY157.GT,Ca21chr6_C_albicans_SC5314,896185,Ca21chr6_C_albicans_SC5314:896185,48,
MAY157.GT,Ca21chrR_C_albicans_SC5314,128983,Ca21chrR_C_albicans_SC5314:128983,48,
MAY154.GT,Ca21chr7_C_albicans_SC5314,203832,Ca21chr7_C_albicans_SC5314:203832,50,
MAY155.GT,Ca21chr7_C_albicans_SC5314,203832,Ca21chr7_C_albicans_SC5314:203832,50,
MAY156.GT,Ca21chr7_C_albicans_SC5314,203832,Ca21chr7_C_albicans_SC5314:203832,50,
MAY157.GT,Ca21chr7_C_albicans_SC5314,203832,Ca21chr7_C_albicans_SC5314:203832,50,
MAY158.GT,Ca21chr7_C_albicans_SC5314,203832,Ca21chr7_C_albicans_SC5314:203832,50,
MAY158.GT,Ca21chr4_C_albicans_SC5314,734750,Ca21chr4_C_albicans_SC5314:734750,51,
MAY154.GT,Ca21chr1_C_albicans_SC5314,353226,Ca21chr1_C_albicans_SC5314:353226,52,
MAY155.GT,Ca21chr1_C_albicans_SC5314,353226,Ca21chr1_C_albicans_SC5314:353226,52,
MAY156.GT,Ca21chr1_C_albicans_SC5314,353226,Ca21chr1_C_albicans_SC5314:353226,52,
MAY158.GT,Ca21chr7_C_albicans_SC5314,837813,Ca21chr7_C_albicans_SC5314:837813,52,
MAY157.GT,Ca21chr3_C_albicans_SC5314,1597810,Ca21chr3_C_albicans_SC5314:1597810,54,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1357790,Ca21chr1_C_albicans_SC5314:1357790,55,
MAY156.GT,Ca21chrR_C_albicans_SC5314,606649,Ca21chrR_C_albicans_SC5314:606649,56,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1171981,Ca21chr1_C_albicans_SC5314:1171981,57,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1171981,Ca21chr1_C_albicans_SC5314:1171981,57,
MAY154.GT,Ca21chr1_C_albicans_SC5314,360460,Ca21chr1_C_albicans_SC5314:360460,58,
MAY155.GT,Ca21chr1_C_albicans_SC5314,360460,Ca21chr1_C_albicans_SC5314:360460,58,
MAY156.GT,Ca21chr1_C_albicans_SC5314,360460,Ca21chr1_C_albicans_SC5314:360460,58,
MAY157.GT,Ca21chr3_C_albicans_SC5314,1174607,Ca21chr3_C_albicans_SC5314:1174607,60,
MAY154.GT,Ca21chr1_C_albicans_SC5314,61,Ca21chr1_C_albicans_SC5314:61,61,
MAY155.GT,Ca21chr1_C_albicans_SC5314,61,Ca21chr1_C_albicans_SC5314:61,61,
MAY156.GT,Ca21chr1_C_albicans_SC5314,61,Ca21chr1_C_albicans_SC5314:61,61,
MAY157.GT,Ca21chr1_C_albicans_SC5314,61,Ca21chr1_C_albicans_SC5314:61,61,
MAY157.GT,Ca21chr2_C_albicans_SC5314,884257,Ca21chr2_C_albicans_SC5314:884257,61,
MAY154.GT,Ca21chr1_C_albicans_SC5314,3044018,Ca21chr1_C_albicans_SC5314:3044018,63,
MAY154.GT,Ca21chr3_C_albicans_SC5314,1217854,Ca21chr3_C_albicans_SC5314:1217854,63,
MAY155.GT,Ca21chr3_C_albicans_SC5314,1217854,Ca21chr3_C_albicans_SC5314:1217854,63,
MAY158.GT,Ca21chr6_C_albicans_SC5314,996539,Ca21chr6_C_albicans_SC5314:996539,63,
MAY154.GT,Ca21chr6_C_albicans_SC5314,996285,Ca21chr6_C_albicans_SC5314:996285,64,
MAY155.GT,Ca21chr6_C_albicans_SC5314,996285,Ca21chr6_C_albicans_SC5314:996285,64,
MAY156.GT,Ca21chr6_C_albicans_SC5314,996285,Ca21chr6_C_albicans_SC5314:996285,64,
MAY157.GT,Ca21chr6_C_albicans_SC5314,996285,Ca21chr6_C_albicans_SC5314:996285,64,
MAY154.GT,Ca21chr7_C_albicans_SC5314,573666,Ca21chr7_C_albicans_SC5314:573666,65,
MAY155.GT,Ca21chr7_C_albicans_SC5314,573666,Ca21chr7_C_albicans_SC5314:573666,65,
MAY156.GT,Ca21chr7_C_albicans_SC5314,573666,Ca21chr7_C_albicans_SC5314:573666,65,
MAY157.GT,Ca21chr7_C_albicans_SC5314,573666,Ca21chr7_C_albicans_SC5314:573666,65,
MAY158.GT,Ca21chr7_C_albicans_SC5314,573666,Ca21chr7_C_albicans_SC5314:573666,65,
MAY154.GT,Ca21chr7_C_albicans_SC5314,923359,Ca21chr7_C_albicans_SC5314:923359,66,
MAY157.GT,Ca21chr7_C_albicans_SC5314,923359,Ca21chr7_C_albicans_SC5314:923359,66,
MAY158.GT,Ca21chr7_C_albicans_SC5314,923359,Ca21chr7_C_albicans_SC5314:923359,66,
MAY154.GT,Ca21chr3_C_albicans_SC5314,1209261,Ca21chr3_C_albicans_SC5314:1209261,68,
MAY155.GT,Ca21chr3_C_albicans_SC5314,1209261,Ca21chr3_C_albicans_SC5314:1209261,68,
MAY156.GT,Ca21chr3_C_albicans_SC5314,1209261,Ca21chr3_C_albicans_SC5314:1209261,68,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1703366,Ca21chr1_C_albicans_SC5314:1703366,70,
MAY154.GT,Ca21chr3_C_albicans_SC5314,161886,Ca21chr3_C_albicans_SC5314:161886,70,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1703366,Ca21chr1_C_albicans_SC5314:1703366,70,
MAY156.GT,Ca21chr1_C_albicans_SC5314,3036379,Ca21chr1_C_albicans_SC5314:3036379,72,
MAY154.GT,Ca21chrR_C_albicans_SC5314,154988,Ca21chrR_C_albicans_SC5314:154988,74,
MAY155.GT,Ca21chrR_C_albicans_SC5314,154988,Ca21chrR_C_albicans_SC5314:154988,74,
MAY155.GT,Ca21chrR_C_albicans_SC5314,2010801,Ca21chrR_C_albicans_SC5314:2010801,74,
MAY156.GT,Ca21chrR_C_albicans_SC5314,154988,Ca21chrR_C_albicans_SC5314:154988,74,
MAY158.GT,Ca21chr7_C_albicans_SC5314,898906,Ca21chr7_C_albicans_SC5314:898906,74,
MAY158.GT,Ca21chrR_C_albicans_SC5314,154988,Ca21chrR_C_albicans_SC5314:154988,74,
MAY158.GT,Ca21chrR_C_albicans_SC5314,2010801,Ca21chrR_C_albicans_SC5314:2010801,74,
MAY158.GT,Ca21chr5_C_albicans_SC5314,172580,Ca21chr5_C_albicans_SC5314:172580,75,
MAY158.GT,Ca21chr6_C_albicans_SC5314,241568,Ca21chr6_C_albicans_SC5314:241568,76,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1150919,Ca21chr1_C_albicans_SC5314:1150919,78,
MAY154.GT,Ca21chr1_C_albicans_SC5314,360538,Ca21chr1_C_albicans_SC5314:360538,78,
MAY155.GT,Ca21chr1_C_albicans_SC5314,360538,Ca21chr1_C_albicans_SC5314:360538,78,
MAY156.GT,Ca21chr1_C_albicans_SC5314,360538,Ca21chr1_C_albicans_SC5314:360538,78,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1150919,Ca21chr1_C_albicans_SC5314:1150919,78,
MAY157.GT,Ca21chrR_C_albicans_SC5314,847266,Ca21chrR_C_albicans_SC5314:847266,78,
MAY154.GT,Ca21chr2_C_albicans_SC5314,1275174,Ca21chr2_C_albicans_SC5314:1275174,80,
MAY155.GT,Ca21chr2_C_albicans_SC5314,1275174,Ca21chr2_C_albicans_SC5314:1275174,80,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1021143,Ca21chrR_C_albicans_SC5314:1021143,80,
MAY156.GT,Ca21chr2_C_albicans_SC5314,1275174,Ca21chr2_C_albicans_SC5314:1275174,80,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1851864,Ca21chrR_C_albicans_SC5314:1851864,80,
MAY157.GT,Ca21chr6_C_albicans_SC5314,586953,Ca21chr6_C_albicans_SC5314:586953,81,
MAY154.GT,Ca21chr1_C_albicans_SC5314,3003203,Ca21chr1_C_albicans_SC5314:3003203,83,
MAY155.GT,Ca21chr1_C_albicans_SC5314,3003203,Ca21chr1_C_albicans_SC5314:3003203,83,
MAY157.GT,Ca21chr1_C_albicans_SC5314,3003203,Ca21chr1_C_albicans_SC5314:3003203,83,
MAY158.GT,Ca21chr1_C_albicans_SC5314,3003203,Ca21chr1_C_albicans_SC5314:3003203,83,
MAY154.GT,Ca21chr5_C_albicans_SC5314,258409,Ca21chr5_C_albicans_SC5314:258409,84,
MAY155.GT,Ca21chr5_C_albicans_SC5314,258409,Ca21chr5_C_albicans_SC5314:258409,84,
MAY156.GT,Ca21chr5_C_albicans_SC5314,258409,Ca21chr5_C_albicans_SC5314:258409,84,
MAY154.GT,Ca21chr3_C_albicans_SC5314,570155,Ca21chr3_C_albicans_SC5314:570155,85,
MAY155.GT,Ca21chr3_C_albicans_SC5314,570155,Ca21chr3_C_albicans_SC5314:570155,85,
MAY154.GT,Ca21chr2_C_albicans_SC5314,1032562,Ca21chr2_C_albicans_SC5314:1032562,88,
MAY155.GT,Ca21chr2_C_albicans_SC5314,1032562,Ca21chr2_C_albicans_SC5314:1032562,88,
MAY156.GT,Ca21chr2_C_albicans_SC5314,1032562,Ca21chr2_C_albicans_SC5314:1032562,88,
MAY158.GT,Ca21chr6_C_albicans_SC5314,241492,Ca21chr6_C_albicans_SC5314:241492,88,
MAY154.GT,Ca21chrR_C_albicans_SC5314,2010785,Ca21chrR_C_albicans_SC5314:2010785,90,
MAY156.GT,Ca21chrR_C_albicans_SC5314,2010785,Ca21chrR_C_albicans_SC5314:2010785,90,
MAY157.GT,Ca21chrR_C_albicans_SC5314,2010785,Ca21chrR_C_albicans_SC5314:2010785,90,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1230530,Ca21chr1_C_albicans_SC5314:1230530,91,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1484570,Ca21chrR_C_albicans_SC5314:1484570,92,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1484570,Ca21chrR_C_albicans_SC5314:1484570,92,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1484570,Ca21chrR_C_albicans_SC5314:1484570,92,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1484570,Ca21chrR_C_albicans_SC5314:1484570,92,
MAY158.GT,Ca21chr4_C_albicans_SC5314,1426181,Ca21chr4_C_albicans_SC5314:1426181,94,
MAY155.GT,Ca21chr7_C_albicans_SC5314,315855,Ca21chr7_C_albicans_SC5314:315855,96,
MAY156.GT,Ca21chr7_C_albicans_SC5314,315855,Ca21chr7_C_albicans_SC5314:315855,96,
MAY158.GT,Ca21chr4_C_albicans_SC5314,790769,Ca21chr4_C_albicans_SC5314:790769,96,
MAY154.GT,Ca21chr4_C_albicans_SC5314,567813,Ca21chr4_C_albicans_SC5314:567813,97,
MAY155.GT,Ca21chr4_C_albicans_SC5314,567813,Ca21chr4_C_albicans_SC5314:567813,97,
MAY156.GT,Ca21chr4_C_albicans_SC5314,567813,Ca21chr4_C_albicans_SC5314:567813,97,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1369608,Ca21chrR_C_albicans_SC5314:1369608,98,
MAY158.GT,Ca21chr5_C_albicans_SC5314,763519,Ca21chr5_C_albicans_SC5314:763519,98,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1369608,Ca21chrR_C_albicans_SC5314:1369608,98,
MAY154.GT,Ca21chr6_C_albicans_SC5314,1007533,Ca21chr6_C_albicans_SC5314:1007533,99,
MAY156.GT,Ca21chr3_C_albicans_SC5314,161886,Ca21chr3_C_albicans_SC5314:161886,99,
MAY157.GT,Ca21chr3_C_albicans_SC5314,161886,Ca21chr3_C_albicans_SC5314:161886,99,
MAY157.GT,Ca21chr6_C_albicans_SC5314,1007533,Ca21chr6_C_albicans_SC5314:1007533,99,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1232219,Ca21chrR_C_albicans_SC5314:1232219,101,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1232219,Ca21chrR_C_albicans_SC5314:1232219,101,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1232219,Ca21chrR_C_albicans_SC5314:1232219,101,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2626210,Ca21chr1_C_albicans_SC5314:2626210,101,
MAY158.GT,Ca21chr6_C_albicans_SC5314,798808,Ca21chr6_C_albicans_SC5314:798808,101,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1232219,Ca21chrR_C_albicans_SC5314:1232219,101,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1026735,Ca21chrR_C_albicans_SC5314:1026735,102,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1026735,Ca21chrR_C_albicans_SC5314:1026735,102,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1026735,Ca21chrR_C_albicans_SC5314:1026735,102,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1026735,Ca21chrR_C_albicans_SC5314:1026735,102,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2626206,Ca21chr1_C_albicans_SC5314:2626206,105,
MAY154.GT,Ca21chr7_C_albicans_SC5314,412939,Ca21chr7_C_albicans_SC5314:412939,105,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2626206,Ca21chr1_C_albicans_SC5314:2626206,105,
MAY155.GT,Ca21chr7_C_albicans_SC5314,412939,Ca21chr7_C_albicans_SC5314:412939,105,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2626206,Ca21chr1_C_albicans_SC5314:2626206,105,
MAY156.GT,Ca21chr7_C_albicans_SC5314,412939,Ca21chr7_C_albicans_SC5314:412939,105,
MAY157.GT,Ca21chr7_C_albicans_SC5314,412939,Ca21chr7_C_albicans_SC5314:412939,105,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2626206,Ca21chr1_C_albicans_SC5314:2626206,105,
MAY158.GT,Ca21chr7_C_albicans_SC5314,412939,Ca21chr7_C_albicans_SC5314:412939,105,
MAY154.GT,Ca21chrR_C_albicans_SC5314,2023115,Ca21chrR_C_albicans_SC5314:2023115,106,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2514867,Ca21chr1_C_albicans_SC5314:2514867,107,
MAY157.GT,Ca21chr6_C_albicans_SC5314,569221,Ca21chr6_C_albicans_SC5314:569221,109,
MAY156.GT,Ca21chr7_C_albicans_SC5314,567689,Ca21chr7_C_albicans_SC5314:567689,111,
MAY157.GT,Ca21chr7_C_albicans_SC5314,567689,Ca21chr7_C_albicans_SC5314:567689,111,
MAY158.GT,Ca21chr7_C_albicans_SC5314,567689,Ca21chr7_C_albicans_SC5314:567689,111,
MAY155.GT,Ca21chrR_C_albicans_SC5314,7190,Ca21chrR_C_albicans_SC5314:7190,115,
MAY157.GT,Ca21chr1_C_albicans_SC5314,3001711,Ca21chr1_C_albicans_SC5314:3001711,116,
MAY154.GT,Ca21chrR_C_albicans_SC5314,728248,Ca21chrR_C_albicans_SC5314:728248,118,
MAY155.GT,Ca21chrR_C_albicans_SC5314,728248,Ca21chrR_C_albicans_SC5314:728248,118,
MAY156.GT,Ca21chrR_C_albicans_SC5314,728248,Ca21chrR_C_albicans_SC5314:728248,118,
MAY158.GT,Ca21chr6_C_albicans_SC5314,798707,Ca21chr6_C_albicans_SC5314:798707,118,
MAY158.GT,Ca21chrR_C_albicans_SC5314,728248,Ca21chrR_C_albicans_SC5314:728248,118,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1478565,Ca21chrR_C_albicans_SC5314:1478565,122,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1478565,Ca21chrR_C_albicans_SC5314:1478565,122,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1478565,Ca21chrR_C_albicans_SC5314:1478565,122,
