chr,chr.pos,univ.pos,a,b,h,s,missing,recoms,recom.by.col,recom.by.mkr
Ca21chr1_C_albicans_SC5314,660000,660000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,670000,670000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,680000,680000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,690000,690000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,700000,700000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,710000,710000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,720000,720000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,730000,730000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,740000,740000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,750000,750000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,760000,760000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,770000,770000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,780000,780000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,790000,790000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,800000,800000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,810000,810000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,820000,820000,0,0,10,0,0,1,0.3333,0.1
Ca21chr1_C_albicans_SC5314,830000,830000,1,1,23,0,0,7,0,0.28
Ca21chr1_C_albicans_SC5314,840000,840000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,850000,850000,4,0,1,0,0,4,1.0,0.8
Ca21chr1_C_albicans_SC5314,860000,860000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,870000,870000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,880000,880000,0,0,19,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,890000,890000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,900000,900000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,910000,910000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,920000,920000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,930000,930000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,940000,940000,0,0,45,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,950000,950000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,960000,960000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,970000,970000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,980000,980000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,990000,990000,3,0,22,0,0,6,0,0.24
Ca21chr1_C_albicans_SC5314,1000000,1000000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1010000,1010000,0,0,15,0,0,1,0.5,0.0667
Ca21chr1_C_albicans_SC5314,1020000,1020000,8,1,4,0,0,10,3.3333,0.7692
Ca21chr1_C_albicans_SC5314,1030000,1030000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1040000,1040000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1050000,1050000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,1060000,1060000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1070000,1070000,9,2,40,0,0,10,-2.0,0.1961
Ca21chr1_C_albicans_SC5314,1080000,1080000,1,0,44,0,0,2,-0.5,0.0444
Ca21chr1_C_albicans_SC5314,1090000,1090000,1,0,9,0,0,2,0.6667,0.2
Ca21chr1_C_albicans_SC5314,1100000,1100000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1110000,1110000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1120000,1120000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1130000,1130000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1140000,1140000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1150000,1150000,1,0,44,0,0,2,-0.5,0.0444
Ca21chr1_C_albicans_SC5314,1160000,1160000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1170000,1170000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1180000,1180000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1190000,1190000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1200000,1200000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1210000,1210000,0,0,65,0,0,4,-0.5,0.0615
Ca21chr1_C_albicans_SC5314,1220000,1220000,8,0,17,0,0,6,0,0.24
Ca21chr1_C_albicans_SC5314,1230000,1230000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1240000,1240000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1250000,1250000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1260000,1260000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1270000,1270000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1280000,1280000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1290000,1290000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1300000,1300000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1310000,1310000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1320000,1320000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1330000,1330000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1340000,1340000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1350000,1350000,13,0,40,0,0,24,-4.8,0.4528
Ca21chr1_C_albicans_SC5314,1360000,1360000,4,0,0,0,0,4,0.8,1.0
Ca21chr1_C_albicans_SC5314,1370000,1370000,0,0,10,0,0,4,1.3333,0.4
Ca21chr1_C_albicans_SC5314,1380000,1380000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1390000,1390000,5,0,22,0,0,4,0,0.1481
Ca21chr1_C_albicans_SC5314,1400000,1400000,1,0,29,0,0,2,-2.0,0.0667
Ca21chr1_C_albicans_SC5314,1410000,1410000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1420000,1420000,0,0,10,0,0,5,1.6667,0.5
Ca21chr1_C_albicans_SC5314,1430000,1430000,4,1,5,0,0,5,1.6667,0.5
Ca21chr1_C_albicans_SC5314,1440000,1440000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,1450000,1450000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,1460000,1460000,1,0,59,0,0,2,-0.2857,0.0333
Ca21chr1_C_albicans_SC5314,1470000,1470000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1480000,1480000,0,0,5,0,0,5,1.25,1.0
Ca21chr1_C_albicans_SC5314,1490000,1490000,5,0,0,0,0,5,1.25,1.0
Ca21chr1_C_albicans_SC5314,1500000,1500000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1510000,1510000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1520000,1520000,8,0,7,0,0,8,4.0,0.5333
Ca21chr1_C_albicans_SC5314,1530000,1530000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1540000,1540000,0,0,55,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1550000,1550000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1560000,1560000,4,0,41,0,0,5,-1.25,0.1111
Ca21chr1_C_albicans_SC5314,1570000,1570000,1,0,59,0,0,2,-0.2857,0.0333
Ca21chr1_C_albicans_SC5314,1580000,1580000,0,0,40,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,1590000,1590000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1600000,1600000,2,0,8,0,0,4,1.3333,0.4
Ca21chr1_C_albicans_SC5314,1610000,1610000,7,0,63,0,0,9,-1.0,0.1286
Ca21chr1_C_albicans_SC5314,1620000,1620000,0,0,5,0,0,1,0.25,0.2
Ca21chr1_C_albicans_SC5314,1630000,1630000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1640000,1640000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1650000,1650000,8,0,17,0,0,11,0,0.44
Ca21chr1_C_albicans_SC5314,1660000,1660000,0,0,25,0,0,1,0,0.04
Ca21chr1_C_albicans_SC5314,1670000,1670000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1680000,1680000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1690000,1690000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1700000,1700000,6,0,19,0,0,4,0,0.16
Ca21chr1_C_albicans_SC5314,1710000,1710000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1720000,1720000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1730000,1730000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1740000,1740000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1750000,1750000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1760000,1760000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1770000,1770000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1780000,1780000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1790000,1790000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1800000,1800000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1810000,1810000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1820000,1820000,4,0,1,0,0,4,1.0,0.8
Ca21chr1_C_albicans_SC5314,1830000,1830000,0,0,10,0,0,4,1.3333,0.4
Ca21chr1_C_albicans_SC5314,1840000,1840000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1850000,1850000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1860000,1860000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,1870000,1870000,0,1,14,0,0,2,1.0,0.1333
Ca21chr1_C_albicans_SC5314,1880000,1880000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1890000,1890000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,1900000,1900000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1910000,1910000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1920000,1920000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,1930000,1930000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1940000,1940000,0,2,3,0,0,2,0.5,0.4
Ca21chr1_C_albicans_SC5314,1950000,1950000,3,0,40,0,0,8,-2.6667,0.186
Ca21chr1_C_albicans_SC5314,1960000,1960000,8,0,5,0,0,12,4.0,0.9231
Ca21chr1_C_albicans_SC5314,1970000,1970000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,1980000,1980000,5,0,15,0,0,14,14.0,0.7
Ca21chr1_C_albicans_SC5314,1990000,1990000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2000000,2000000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2010000,2010000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2020000,2020000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2030000,2030000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2040000,2040000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2050000,2050000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2060000,2060000,0,0,50,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2070000,2070000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2080000,2080000,4,0,26,0,0,8,-8.0,0.2667
Ca21chr1_C_albicans_SC5314,2090000,2090000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2100000,2100000,4,0,11,0,0,8,4.0,0.5333
Ca21chr1_C_albicans_SC5314,2110000,2110000,3,0,37,0,0,4,-1.3333,0.1
Ca21chr1_C_albicans_SC5314,2120000,2120000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2130000,2130000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2140000,2140000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2150000,2150000,0,0,40,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2160000,2160000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2170000,2170000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2180000,2180000,3,0,0,0,0,3,0.6,1.0
Ca21chr1_C_albicans_SC5314,2190000,2190000,0,0,25,0,0,3,0,0.12
Ca21chr1_C_albicans_SC5314,2200000,2200000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2210000,2210000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2220000,2220000,1,0,24,0,0,2,0,0.08
Ca21chr1_C_albicans_SC5314,2230000,2230000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2240000,2240000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2250000,2250000,0,0,80,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2260000,2260000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2270000,2270000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2280000,2280000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2290000,2290000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2300000,2300000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2310000,2310000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2320000,2320000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2330000,2330000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2340000,2340000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2350000,2350000,1,1,30,0,0,4,-4.0,0.125
Ca21chr1_C_albicans_SC5314,2360000,2360000,1,0,4,0,0,1,0.25,0.2
Ca21chr1_C_albicans_SC5314,2370000,2370000,0,0,20,0,0,1,1.0,0.05
Ca21chr1_C_albicans_SC5314,2380000,2380000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2390000,2390000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2400000,2400000,8,0,7,0,0,4,2.0,0.2667
Ca21chr1_C_albicans_SC5314,2410000,2410000,2,0,18,0,0,8,8.0,0.4
Ca21chr1_C_albicans_SC5314,2420000,2420000,0,0,35,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2430000,2430000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2440000,2440000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2450000,2450000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2460000,2460000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2470000,2470000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2480000,2480000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2490000,2490000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2500000,2500000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2510000,2510000,9,6,3,0,0,14,7.0,0.7778
Ca21chr1_C_albicans_SC5314,2520000,2520000,0,0,40,0,0,4,-1.3333,0.1
Ca21chr1_C_albicans_SC5314,2530000,2530000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2540000,2540000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2550000,2550000,0,0,45,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2560000,2560000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2570000,2570000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2580000,2580000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2590000,2590000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2600000,2600000,0,0,45,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2610000,2610000,0,0,65,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2620000,2620000,0,0,60,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2630000,2630000,0,0,45,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2640000,2640000,0,0,40,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2650000,2650000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2660000,2660000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2670000,2670000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2680000,2680000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2690000,2690000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2700000,2700000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2710000,2710000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2720000,2720000,0,0,15,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2730000,2730000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2740000,2740000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2750000,2750000,4,0,6,0,0,4,1.3333,0.4
Ca21chr1_C_albicans_SC5314,2760000,2760000,4,0,6,0,0,8,2.6667,0.8
Ca21chr1_C_albicans_SC5314,2770000,2770000,4,0,0,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2780000,2780000,0,0,10,0,0,4,1.3333,0.4
Ca21chr1_C_albicans_SC5314,2790000,2790000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2800000,2800000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2810000,2810000,0,0,20,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2820000,2820000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2830000,2830000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2840000,2840000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2850000,2850000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2860000,2860000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2870000,2870000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2880000,2880000,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,2890000,2890000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2900000,2900000,1,0,19,0,0,2,2.0,0.1
Ca21chr1_C_albicans_SC5314,2910000,2910000,0,0,5,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2920000,2920000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2930000,2930000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2940000,2940000,0,0,30,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2950000,2950000,0,0,10,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,2960000,2960000,3,1,10,0,0,8,2.6667,0.5714
Ca21chr1_C_albicans_SC5314,2970000,2970000,0,0,40,0,0,0,-0.0,0.0
Ca21chr1_C_albicans_SC5314,2980000,2980000,0,0,25,0,0,0,0,0.0
Ca21chr1_C_albicans_SC5314,2990000,2990000,0,0,35,0,0,0,-0.0,0.0
