Sample Name, Recombined Chromosome, Recombination Start Site (bp), Recombination Event Length (bp)
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1029732,54906
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1084638,17587
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1102225,149122
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1251347,9367
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1260714,1346
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1262060,16906
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1278966,19401
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1298367,15420
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1313787,114594
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1428381,155206
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1583587,14114
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1597701,4717
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1602418,6568
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1608986,1020
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1610006,1367
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1611373,20079
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1631452,12567
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1644019,35360
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1679379,46662
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1726041,58317
Mixed_Plate_A3_148,Ca21chr3_C_albicans_SC5314,1784358,10642
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,413387,2579
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,410808,43885
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,366923,39056
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,327867,54547
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,273320,199979
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,73341,688
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,72653,3113
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,69540,3
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,69537,23954
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,45583,38006
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,7577,1164
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,6413,6413
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,529310,8832
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,538142,204270
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,742412,7169
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,749581,26342
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,775923,26431
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,802354,606
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,802960,49847
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,852807,15781
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,868588,46000
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,914588,138997
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,1053585,1789
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,1055374,40416
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,1095790,15582
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,1111372,1019
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,1112391,62771
Mixed_Plate_A3_148,Ca21chr5_C_albicans_SC5314,1175162,14838
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,891058,4528
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,886530,270723
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,615807,28800
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,587007,14619
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,572388,30319
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,542069,22668
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,519401,267153
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,252248,1813
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,250435,32650
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,217785,13299
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,204486,31848
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,172638,3125
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,169513,22606
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,146907,24743
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,122164,98293
Mixed_Plate_A3_148,Ca21chr6_C_albicans_SC5314,23871,23871
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,369500,2657
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,366843,79461
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,287382,44103
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,243279,18514
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,224765,127072
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,97693,10926
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,86767,86767
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,509857,288359
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,798216,5652
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,803868,8797
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,812665,27508
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,840173,29844
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,870017,4860
Mixed_Plate_A3_148,Ca21chr7_C_albicans_SC5314,874877,70123
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,1397735,942800
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,454935,213671
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,241264,7494
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,233770,3353
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,230417,94844
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,135573,47545
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,88028,88028
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,1918497,107121
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,2025618,2762
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,2028380,14224
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,2042604,37737
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,2080341,22598
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,2102939,56684
Mixed_Plate_A3_148,Ca21chrR_C_albicans_SC5314,2159623,125377
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1532105,49976
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1482129,53416
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1428713,196829
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1231884,19934
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1211950,166375
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1045575,804
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1044771,128536
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,916235,73262
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,842973,50113
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,792860,253338
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,539522,23186
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,516336,44836
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,471500,49565
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,421935,261
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,421674,11035
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,410639,3
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,410636,3075
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,407561,47140
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,360421,15067
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,345354,345354
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1615837,152654
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1768491,170839
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,1939330,166837
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2106167,34465
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2140632,7451
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2148083,52164
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2200247,14792
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2215039,39235
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2254274,10593
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2264867,54263
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2319130,2258
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2321388,81786
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2403174,47275
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2450449,70442
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2520891,8259
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2529150,48907
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2578057,66584
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2644641,36985
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2681626,30609
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2712235,60237
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2772472,3843
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2776315,5438
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2781753,48219
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2829972,80122
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2910094,43850
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2953944,43186
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,2997130,32097
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,3029227,23817
Mixed_Plate_A5_152,Ca21chr1_C_albicans_SC5314,3053044,131956
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1871610,75691
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1795919,115804
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1680115,119364
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1560751,81542
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1479209,64931
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1414278,28814
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1385464,38462
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1347002,74830
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1272172,214477
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,1057695,112414
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,945281,37131
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,908150,10898
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,897252,277254
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,619998,165495
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,454503,84934
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,369569,108214
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,261355,133227
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,128128,128128
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,2022082,6311
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,2028393,164441
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,2192834,2275
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,2195109,16396
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,2211505,12061
Mixed_Plate_A5_152,Ca21chr2_C_albicans_SC5314,2223566,6434
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,626749,45648
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,581101,45897
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,535204,98103
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,437101,5772
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,431329,39157
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,392172,6104
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,386068,96364
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,289704,128509
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,161195,98156
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,63039,13815
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,49224,49224
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,903993,80088
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,984081,1253
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,985334,40843
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1026177,23379
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1049556,18000
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1067556,17082
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1084638,17587
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1102225,336
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1102561,126026
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1228587,69780
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1298367,15420
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1313787,114594
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1428381,32442
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1460823,10144
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1470967,131451
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1602418,6568
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1608986,1020
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1610006,28034
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1638040,41339
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1679379,46662
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1726041,58317
Mixed_Plate_A5_152,Ca21chr3_C_albicans_SC5314,1784358,10642
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,952885,3154
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,949731,3286
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,946445,85198
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,861247,3612
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,857635,174885
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,682750,11022
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,671728,44738
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,626990,102449
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,524541,37695
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,486846,3
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,486843,2464
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,484379,94702
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,389677,26943
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,362734,11455
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,351279,17095
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,334184,110261
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,223923,393
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,223530,223530
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1005224,84673
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1089897,72096
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1161993,2055
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1164048,112083
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1276131,36242
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1312373,94745
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1407118,14614
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1421732,138454
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1560186,23664
Mixed_Plate_A5_152,Ca21chr4_C_albicans_SC5314,1583850,16150
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,413387,2579
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,410808,16430
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,394378,8068
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,386310,19387
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,366923,39056
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,327867,28181
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,299686,86132
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,213554,19865
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,193689,87043
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,106646,5640
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,101006,17928
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,83078,13541
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,69537,23954
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,45583,38006
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,7577,1164
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,6413,6413
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,509209,20101
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,529310,8832
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,538142,204270
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,742412,7169
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,749581,26342
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,775923,11705
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,787628,14726
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,802354,50453
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,852807,15781
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,868588,46000
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,914588,138997
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,1053585,1789
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,1055374,40416
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,1095790,15582
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,1111372,1019
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,1112391,13001
Mixed_Plate_A5_152,Ca21chr5_C_albicans_SC5314,1125392,64608
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,891058,8018
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,883040,184160
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,698880,6677
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,692203,76396
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,615807,28800
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,587007,14619
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,572388,39395
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,532993,280745
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,252248,1813
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,250435,15548
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,234887,12575
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,222312,4527
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,217785,13299
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,204486,31848
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,172638,3125
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,169513,22606
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,146907,24743
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,122164,98293
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,23871,23871
Mixed_Plate_A5_152,Ca21chr6_C_albicans_SC5314,997576,32424
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,369500,2657
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,366843,79461
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,287382,10160
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,277222,416
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,276806,179113
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,97693,10926
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,86767,86767
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,509857,302808
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,812665,27508
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,840173,29844
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,870017,4860
Mixed_Plate_A5_152,Ca21chr7_C_albicans_SC5314,874877,70123
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1708283,257821
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1450462,52727
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1397735,137478
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1260257,7189
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1253068,32397
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1220671,138241
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1082430,136126
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,946304,42932
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,903372,1848
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,901524,198918
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,702606,203003
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,499603,159477
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,340126,40005
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,300121,58857
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,241264,7494
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,233770,3353
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,230417,94844
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,135573,47545
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,88028,88028
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1866468,52029
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,1918497,109883
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2028380,14224
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2042604,2286
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2044890,34324
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2079214,1127
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2080341,22598
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2102939,56684
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2159623,119481
Mixed_Plate_A5_152,Ca21chrR_C_albicans_SC5314,2279104,5896
Mixed_Plate_A7_154,Ca21chr1_C_albicans_SC5314,1545856,285626
Mixed_Plate_A7_154,Ca21chr1_C_albicans_SC5314,1260230,28346
